iter	Passed	Remaining
740	49101	17162
741	49170	17097
742	49244	17033
743	49313	16968
744	49386	16903
745	49456	16838
746	49526	16773
747	49601	16710
748	49668	16644
749	49742	16580
750	49813	16516
751	49883	16450
752	49953	16385
753	50021	16319
754	50094	16255
755	50165	16190
756	50238	16126
757	50308	16061
758	50382	15997
759	50450	15931
760	50520	15866
761	50591	15801
762	50662	15736
763	50729	15670
764	50801	15605
765	50867	15539
766	50943	15475
767	51009	15409
768	51084	15345
769	51155	15280
770	51222	15214
771	51295	15149
772	51369	15085
773	51436	15018
774	51508	14954
775	51575	14887
776	51647	14822
777	51714	14756
778	51786	14691
779	51855	14625
780	51926	14560
781	51997	14495
782	52065	14429
783	52136	14364
784	52207	14298
785	52279	14233
786	52346	14167
787	52419	14102
788	52489	14037
789	52563	13972
790	52649	13911
791	52720	13845
792	52787	13779
793	52858	13713
794	52923	13646
795	52994	13581
796	53062	13515
797	53134	13450
798	53204	13384
799	53286	13321
800	53357	13256
801	53428	13190
802	53501	13125
803	53568	13058
804	53642	12994
805	53715	12929
806	53787	12863
807	53854	12797
808	53923	12731
809	53994	12665
810	54060	12598
811	54134	12533
812	54202	12467
813	54273	12401
814	54344	12335
815	54418	12270
816	54488	12204
817	54564	12140
818	54637	12075
819	54705	12008
820	54776	11942
821	54844	11876
822	54917	11810
823	54985	11744
824	55057	11678
825	55125	11612
826	55194	11546
827	55264	11479
828	55335	11414
829	55403	11347
830	55474	11281
831	55545	11215
832	55612	11149
833	55686	11083
834	55751	11016
835	55823	10950
836	55893	10884
837	55961	10818
838	56030	10752
839	56097	10685
840	56171	10619
841	56240	10553
842	56314	10487
843	56385	10421
844	56454	10355
845	56527	10289
846	56597	10223
847	56668	10157
848	56742	10091
849	56811	10025
850	56879	9958
851	56953	9893
852	57023	9826
853	57097	9761
854	57165	9694
855	57242	9629
856	57307	9562
857	57381	9496
858	57452	9430
859	57523	9364
860	57590	9297
861	57663	9231
862	57730	9164
863	57803	9098
864	57887	9034
865	57962	8968
866	58028	8901
867	58101	8835
868	58171	8769
869	58243	8703
870	58312	8636
871	58385	8570
872	58451	8503
873	58525	8437
874	58593	8370
875	58664	8304
876	58734	8237
877	58809	8171
878	58875	8104
879	58948	8038
880	59014	7971
881	59086	7904
882	59154	7838
883	59231	7772
884	59302	7706
885	59375	7639
886	59445	7573
887	59516	7506
888	59586	7439
889	59660	7373
890	59729	7306
891	59799	7240
892	59866	7173
893	59937	7106
894	60007	7040
895	60076	6973
896	60148	6906
897	60216	6839
898	60290	6773
899	60357	6706
900	60428	6639
901	60496	6572
902	60568	6506
903	60635	6439
904	60712	6373
905	60780	6306
906	60853	6239
907	60918	6172
908	60989	6105
909	61056	6038
910	61127	5971
911	61195	5904
912	61267	5838
913	61331	5770
914	61399	5703
915	61469	5636
916	61541	5570
917	61608	5503
918	61680	5436
919	61748	5369
920	61819	5302
921	61890	5235
922	61961	5169
923	62031	5102
924	62101	5035
925	62172	4968
926	62243	4901
927	62308	4834
928	62382	4767
929	62450	4700
930	62522	4633
931	62591	4566
932	62659	4499
933	62728	4432
934	62795	4365
935	62866	4298
936	62936	4231
937	63002	4164
938	63073	4097
939	63140	4030
940	63213	3963
941	63281	3896
942	63354	3829
943	63430	3762
944	63498	3695
945	63569	3628
946	63638	3561
947	63710	3494
948	63778	3427
949	63848	3360
950	63917	3293
951	63983	3226
952	64053	3158
953	64123	3091
954	64193	3024
955	64267	2957
956	64334	2890
957	64405	2823
958	64475	2756
959	64547	2689
960	64612	2622
961	64684	2555
962	64757	2488
963	64824	2420
964	64894	2353
965	64962	2286
966	65028	2219
967	65099	2152
968	65169	2084
969	65242	2017
970	65310	1950
971	65378	1883
972	65450	1816
973	65520	1749
974	65592	1681
975	65662	1614
976	65731	1547
977	65799	1480
978	65872	1412
979	65941	1345
980	66013	1278
981	66077	1211
982	66151	1144
983	66226	1076
984	66298	1009
985	66364	942
986	66436	875
987	66502	807
988	66573	740
989	66637	673
990	66707	605
991	66772	538
992	66845	471
993	66913	403
994	66987	336
995	67055	269
996	67127	201
997	67198	134
998	67265	67
999	67335	0
